Estoy deseando que (empezar) el fin de semana.	Estoy deseando que empiece el fin de semana.
Me pidieron que (hacer) unos comentarios acerca de la preservación de energia.	Me pidieron que hiciera unos comentarios acerca de la preservación de energia.
¿A qué hora quieres que (estar) aquí?	¿A qué hora quieres que esté aquí?
Quiero que (leer tú) esta carta en inglés.	Quiero que leas esta carta en inglés.
Te estoy pidiendo que (hacer tú) esto, porque confío en vos.	Te estoy pidiendo que hagas esto, porque confío en vos.
Le aconsejó que (tomar) un descanso, pero no siguió su consejo.	Le aconsejó que tomara un descanso, pero no siguió su consejo.
Quisiera que (conocer tú) a un amigo mío.	Quisiera que conocieras a un amigo mío.
Quiero que (trabajar tú) conmigo.	Quiero que trabajes conmigo.
Quiero que (venir tú) nuevamente.	Quiero que vengas nuevamente.
Él me pidió que (guardar) el secreto.	Él me pidió que guardase el secreto.
Desearía que (haber tú) estado ahí.	Desearía que hubieras estado ahí.
Quiero que (bailar tú) conmigo hoy.	Quiero que bailes conmigo hoy.
Quiero que (hacer tú) algo por mí.	Quiero que hagas algo por mí.
No quiero que (pasar) algo así.	No quiero que pase algo así.
Tú quieres que (conseguir) un mejor trabajo, pero no creo que pueda.	Tú quieres que consiga un mejor trabajo, pero no creo que pueda.
Quiero que (cerrar tú) los ojos.	Quiero que cierres los ojos.
Le pedí que (parar) de hablar, pero siguió.	Le pedí que parara de hablar, pero siguió.
Es la última vez que te pido que (hacer tú) algo por mí.	Es la última vez que te pido que hagas algo por mí.
Ya no necesitamos que (hacer tú) eso.	Ya no necesitamos que hagas eso.
No quiero que (pensar tú) que no estoy contento con tu decisión.	No quiero que pienses que no estoy contento con tu decisión.
Querríamos que (cantar tú) algunas canciones.	Querríamos que cantaras algunas canciones.
Le aconsejó que (tomar) un descanso.	Le aconsejó que tomara un descanso.
Quiero que (llevar tú) esto contigo.	Quiero que lleves esto contigo.
Le pedí que (estar) aquí a las seis.	Le pedí que estuviera aquí a las seis.
Sé que tu mamá no quiere que (hablar tú) conmigo.	Sé que tu mamá no quiere que hables conmigo.
Le pedí que (hacer) cuatro copias de la carta.	Le pedí que hiciera cuatro copias de la carta.
¿Quieres que (venir) ya tu hermanito?	¿Quieres que venga ya tu hermanito?
No quiero que (entrar) en pánico.	No quiero que entre en pánico.
Desearás que (tener tú) una casa propia.	Desearás que tuvieras una casa propia.
Quienquiera que (venir) será bienvenido.	Quienquiera que venga será bienvenido.
Solo quiero que (saber tú) que te perdono.	Solo quiero que sepas que te perdono.
Hola, sólo quería que (saber tú) que el problema se arregló.	Hola, sólo quería que supieras que el problema se arregló.
¿De verdad quieres que (hacer) esto?	¿De verdad quieres que haga esto?
Me pidieron que (hacer) esto.	Me pidieron que hiciera esto.
¿Quiere que (hablar) en finlandés o en inglés?	¿Quiere que hable en finlandés o en inglés?
¿Quieres que (dejar) la luz encendida?	¿Quieres que deje la luz encendida?
Ella quiere que (aprender tú) a leer.	Ella quiere que aprendas a leer.
Quiero que (ser tú) mi amigo de nuevo.	Quiero que seas mi amigo de nuevo.
Quiero que (ir tú) a ver si aún está ahí.	Quiero que vayas a ver si aún está ahí.
Me estás pidiendo que (hacer) algo que no quiero hacer.	Me estás pidiendo que haga algo que no quiero hacer.
¿Quieres que (hablar) en finlandés o en inglés?	¿Quieres que hable en finlandés o en inglés?
Solo quiero que (considerar tú) la posibilidad de que estés equivocada.	Solo quiero que consideres la posibilidad de que estés equivocada.
¿Quieres que (abrir) la caja?	¿Quieres que abra la caja?
Quiero que (abrir tú) los ojos.	Quiero que abras los ojos.
Ella le aconsejó que (ver) a un abogado, y así lo hizo.	Ella le aconsejó que viera a un abogado, y así lo hizo.
No quisiera que (salir tú) lastimada.	No quisiera que salieras lastimada.
A Tom le pidieron que (ir) testigo en la boda del hermano de Mary.	A Tom le pidieron que fuera testigo en la boda del hermano de Mary.
Ella le aconsejó que (dejar) de trabajar tanto.	Ella le aconsejó que dejara de trabajar tanto.
El médico le aconsejó que (trabajar) menos.	El médico le aconsejó que trabajase menos.
Quiero que (tocar) la guitarra.	Quiero que toque la guitarra.
Quiero que (ir tú) a Osaka de inmediato.	Quiero que vayas a Osaka de inmediato.
Quisiera que (leer tú) esta carta en inglés.	Quisiera que leas esta carta en inglés.
Si yo tuviera un novio, querría que (medir) al menos 180 centímetros.	Si yo tuviera un novio, querría que midiera al menos 180 centímetros.
Quisiera que (venir tú) temprano.	Quisiera que vinieras temprano.
No quería que (haber) ningún problema.	No quería que hubiese ningún problema.
Me pidió que (leer) 5 poemas.	Me pidió que leyera 5 poemas.
Deseo que (tener tú) lo que te merecés.	Deseo que tengas lo que te merecés.
Querría que (lavar tú) el coche.	Querría que lavaras el coche.
Tom quiere que (ir nosotros) a la iglesia.	Tom quiere que vayamos a la iglesia.
Quiero que (recoger tú) del suelo todos y cada uno de los juguetes y que los pongas en tu estantería.	Quiero que recojas del suelo todos y cada uno de los juguetes y que los pongas en tu estantería.
Le aconsejó que (hacer) ejercicio todos los días.	Le aconsejó que hiciera ejercicio todos los días.
Tom no quiere que (ir) Mary.	Tom no quiere que vaya Mary.
¿Quieres que (resolver) este asunto?	¿Quieres que resuelva este asunto?
Le aconsejó que (visitar) Boston, porque pensaba que era la ciudad más bella en el mundo.	Le aconsejó que visitara Boston, porque pensaba que era la ciudad más bella en el mundo.
Deseo que (tener tú) dulces sueños.	Deseo que tengas dulces sueños.
Quiero que (tener tú) esto.	Quiero que tengas esto.
Él le aconsejó que (ir) puntual.	Él le aconsejó que fuera puntual.
Ella me aconsejó que (ir) allá.	Ella me aconsejó que fuera allá.
No quiero que (decir tú) nada.	No quiero que digas nada.
Quiere que (ir) con ella.	Quiere que vaya con ella.
Tom no quiere que (descubrir tú) la verdad.	Tom no quiere que descubras la verdad.
Nadie quiere que (hacer tú) eso.	Nadie quiere que hagas eso.
Quiero que (admitir tú) que quizá te guste un poco Tom.	Quiero que admitas que quizá te guste un poco Tom.
Quiero que (ver vosotros) esto.	Quiero que veáis esto.
Necesitamos que (ser tú) fuerte.	Necesitamos que seas fuerte.
Querría que (abrir) la ventana.	Querría que abriera la ventana.
Te pido que (votar tú) por el partido obrero, porque así tendrás un gobierno que pueda hacerse responsable por la economía del país.	Te pido que votes por el partido obrero, porque así tendrás un gobierno que pueda hacerse responsable por la economía del país.
Quiero que (ayudar tú) a Tom.	Quiero que ayudes a Tom.
Quienquiera que (creer) en él no será condenado.	Quienquiera que crea en él no será condenado.
Desearía que (poder tú) haber venido conmigo.	Desearía que pudieras haber venido conmigo.
Desearía que (estar tú) aquí.	Desearía que estuvieras aquí.
Quiero que (hablar tú) con Tom.	Quiero que hables con Tom.
Le pedí que (comprar) un pato, pero compró una piña.	Le pedí que comprara un pato, pero compró una piña.
Quiero que (volver tú) a vivir conmigo.	Quiero que vuelvas a vivir conmigo.
¿Quieres que (ir) contigo?	¿Quieres que vaya contigo?
Tom quiere que (colgar nosotros) el televisor en la pared.	Tom quiere que colguemos el televisor en la pared.
Ella le aconsejó que (ir) puntual.	Ella le aconsejó que fuera puntual.
Le aconsejó que (visitar) Boston porque pensaba que era la ciudad más bonita del mundo.	Le aconsejó que visitara Boston porque pensaba que era la ciudad más bonita del mundo.
Quiero que (estar tú) mejor.	Quiero que estés mejor.
Ella le aconsejó que (mantener) sus promesas.	Ella le aconsejó que mantuviera sus promesas.
Mi esposa me pidió que (tirar) este viejo sombrero.	Mi esposa me pidió que tire este viejo sombrero.
Quiero que (abrir tú) la ventana.	Quiero que abras la ventana.
